from,to,length
1537,5106,6.339
5106,1537,6.339
5106,9,25.000
9,5106,25.000
9,1574,9.205
1574,9,9.205
5263,530,26.411
530,5263,26.411
530,1091,54.785
1091,530,54.785
1091,1092,69.669
1092,1091,69.669
1092,1090,39.795
1090,1092,39.795
142,2556,1.663
2556,142,1.663
2556,4027,5.524
4027,2556,5.524
4027,5461,0.892
5461,4027,0.892
5461,529,25.975
529,5461,25.975
239,2982,4.133
2982,239,4.133
2982,4022,181.663
4022,2982,181.663
4022,2555,6.050
2555,4022,6.050
2555,240,1.563
240,2555,1.563
356,8320,5.680
8320,356,5.680
8320,130,36.169
130,8320,36.169
4057,359,33.885
359,4057,33.885
364,3018,2.932
3018,364,2.932
3018,3019,2.787
3019,3018,2.787
3019,367,2.782
367,3019,2.782
367,3023,2.782
3023,367,2.782
3023,3024,2.791
3024,3023,2.791
3024,3025,2.778
3025,3024,2.778
3025,375,2.780
375,3025,2.780
375,3028,2.789
3028,375,2.789
3028,3029,2.780
3029,3028,2.780
3029,372,2.789
372,3029,2.789
372,3032,2.779
3032,372,2.779
3032,3034,2.788
3034,3032,2.788
3034,2351,2.785
2351,3034,2.785
2351,3036,2.780
3036,2351,2.780
3036,3038,2.782
3038,3036,2.782
3038,362,2.789
362,3038,2.789
362,3041,2.605
3041,362,2.605
3041,3042,2.606
3042,3041,2.606
3042,374,2.612
374,3042,2.612
374,3045,2.608
3045,374,2.608
3045,3046,2.606
3046,3045,2.606
3046,3048,2.610
3048,3046,2.610
3048,365,2.609
365,3048,2.609
365,3051,3.033
3051,365,3.033
3051,3050,3.036
3050,3051,3.036
3050,3049,3.029
3049,3050,3.029
3049,366,3.036
366,3049,3.036
366,3047,3.031
3047,366,3.031
3047,3044,3.035
3044,3047,3.035
3044,3043,3.032
3043,3044,3.032
3043,137,3.034
137,3043,3.034
5365,5367,6.363
5367,5365,6.363
5367,1572,22.560
1572,5367,22.560
1572,1571,31.437
1571,1572,31.437
1571,7567,13.546
7567,1571,13.546
7567,5291,12.018
5291,7567,12.018
5291,5411,10.323
5411,5291,10.323
5411,1538,4.415
1538,5411,4.415
1538,3889,5.219
3889,1538,5.219
3889,8317,4.517
8317,3889,4.517
8317,246,9.808
246,8317,9.808
248,7197,8.678
7197,248,8.678
7197,1582,17.595
1582,7197,17.595
1582,7198,45.159
7198,1582,45.159
7198,249,4.626
249,7198,4.626
249,4035,5.009
4035,249,5.009
4035,3624,2.807
3624,4035,2.807
3624,377,1.501
377,3624,1.501
377,2907,5.425
2907,377,5.425
2907,3619,76.442
3619,2907,76.442
3619,2352,4.217
2352,3619,4.217
2352,2909,3.904
2909,2352,3.904
2909,5224,0.900
5224,2909,0.900
5224,3618,3.649
3618,5224,3.649
3618,6246,5.119
6246,3618,5.119
6575,5222,40.152
5222,6575,40.152
5222,4116,5.634
4116,5222,5.634
4116,3616,4.342
3616,4116,4.342
3616,6246,1.726
6246,3616,1.726
136,6036,10.238
6036,136,10.238
6036,6607,38.461
6607,6036,38.461
376,4319,6.725
4319,376,6.725
4319,6380,71.913
6380,4319,71.913
6380,8312,127.565
8312,6380,127.565
8312,1729,120.845
1729,8312,120.845
1729,371,11.214
371,1729,11.214
386,156,47.447
156,386,47.447
156,7790,13.538
7790,156,13.538
2771,7831,23.646
7831,2771,23.646
408,1252,14.551
1252,408,14.551
1252,7832,12.954
7832,1252,12.954
3203,1410,5.042
1410,3203,5.042
1410,3201,37.286
3201,1410,37.286
382,7799,18.370
7799,382,18.370
418,7362,8.745
7362,418,8.745
7362,8359,74.025
8359,7362,74.025
8359,8360,55.702
8360,8359,55.702
8360,2427,18.810
2427,8360,18.810
2427,419,9.983
419,2427,9.983
419,2426,66.731
2426,419,66.731
426,5789,9.005
5789,426,9.005
5789,7724,2.312
7724,5789,2.312
7724,7725,2.642
7725,7724,2.642
7725,1217,4.095
1217,7725,4.095
1217,593,11.757
593,1217,11.757
427,6172,5.978
6172,427,5.978
6172,1771,2.736
1771,6172,2.736
1771,6158,0.699
6158,1771,0.699
6158,5406,7.461
5406,6158,7.461
5406,5405,0.972
5405,5406,0.972
5405,6157,0.811
6157,5405,0.811
6157,432,7.941
432,6157,7.941
432,5404,4.832
5404,432,4.832
5404,1767,3.866
1767,5404,3.866
1767,431,8.461
431,1767,8.461
431,1768,7.908
1768,431,7.908
1768,6170,2.247
6170,1768,2.247
6170,5401,2.847
5401,6170,2.847
5401,429,3.656
429,5401,3.656
429,6173,8.829
6173,429,8.829
6173,1769,0.383
1769,6173,0.383
1769,430,11.759
430,1769,11.759
430,1770,10.868
1770,430,10.868
1770,6174,1.824
6174,1770,1.824
6174,428,10.488
428,6174,10.488
437,5089,21.577
5089,437,21.577
5089,1216,5.864
1216,5089,5.864
187,6160,11.306
6160,187,11.306
6160,4923,12.819
4923,6160,12.819
4923,2945,22.965
2945,4923,22.965
2945,5638,25.704
5638,2945,25.704
5638,2946,13.370
2946,5638,13.370
2946,444,10.561
444,2946,10.561
443,2327,27.437
2327,443,27.437
2327,439,62.750
439,2327,62.750
443,2328,7.143
2328,443,7.143
2328,4688,86.108
4688,2328,86.108
4688,6267,23.762
6267,4688,23.762
6267,5639,1.298
5639,6267,1.298
5639,6268,22.710
6268,5639,22.710
6268,7764,67.849
7764,6268,67.849
7764,3181,28.530
3181,7764,28.530
6666,2270,10.168
2270,6666,10.168
2270,8145,35.034
8145,2270,35.034
8145,4030,4.594
4030,8145,4.594
4030,3407,3.819
3407,4030,3.819
3407,450,1.231
450,3407,1.231
418,8361,3.402
8361,418,3.402
8361,7349,3.580
7349,8361,3.580
7349,8358,38.299
8358,7349,38.299
8358,469,13.591
469,8358,13.591
469,470,8.184
470,469,8.184
470,4721,33.250
4721,470,33.250
4721,2422,3.977
2422,4721,3.977
2422,7350,7.507
7350,2422,7.507
2299,4026,6.618
4026,2299,6.618
4026,5779,48.061
5779,4026,48.061
5779,5780,22.395
5780,5779,22.395
5780,2787,8.519
2787,5780,8.519
2787,1579,7.540
1579,2787,7.540
1579,5536,25.879
5536,1579,25.879
5536,2242,31.418
2242,5536,31.418
2242,484,49.891
484,2242,49.891
1976,5892,28.182
5892,1976,28.182
5892,5893,19.742
5893,5892,19.742
5893,5894,4.629
5894,5893,4.629
5894,1519,7.252
1519,5894,7.252
485,7701,16.181
7701,485,16.181
7701,487,43.477
487,7701,43.477
487,7538,4.607
7538,487,4.607
7538,7537,5.063
7537,7538,5.063
7537,645,2.619
645,7537,2.619
645,5885,2.980
5885,645,2.980
5885,7705,29.453
7705,5885,29.453
7705,6079,17.884
6079,7705,17.884
6079,5884,3.047
5884,6079,3.047
5884,6080,2.742
6080,5884,2.742
6080,6078,2.955
6078,6080,2.955
488,6082,3.173
6082,488,3.173
6082,6075,2.286
6075,6082,2.286
6075,6076,6.123
6076,6075,6.123
6076,4129,35.369
4129,6076,35.369
4129,190,12.501
190,4129,12.501
5038,6136,8.360
6136,5038,8.360
6136,5183,3.750
5183,6136,3.750
5183,5185,11.011
5185,5183,11.011
5185,5184,9.474
5184,5185,9.474
453,7081,2.502
7081,453,2.502
7081,5234,5.517
5234,7081,5.517
5234,4219,47.575
4219,5234,47.575
277,6840,106.911
6840,277,106.911
6840,136,10.702
136,6840,10.702
6246,3620,3.980
3620,6246,3.980
3620,5225,9.438
5225,3620,9.438
5225,3622,8.213
3622,5225,8.213
3622,5227,32.072
5227,3622,32.072
5227,6810,100.909
6810,5227,100.909
6810,493,86.456
493,6810,86.456
493,3638,6.565
3638,493,6.565
3638,3640,4.793
3640,3638,4.793
3640,2904,5.492
2904,3640,5.492
2904,4234,5.222
4234,2904,5.222
4234,1189,4.632
1189,4234,4.632
1601,1420,10.485
1420,1601,10.485
146,5046,55.590
5046,146,55.590
5046,4054,55.198
4054,5046,55.198
4054,2553,7.837
2553,4054,7.837
2553,289,1.420
289,2553,1.420
1025,306,39.757
306,1025,39.757
5579,4781,12.084
4781,5579,12.084
4781,7932,7.800
7932,4781,7.800
7932,4120,2.644
4120,7932,2.644
4120,4782,25.239
4782,4120,25.239
4782,145,8.425
145,4782,8.425
145,755,36.010
755,145,36.010
755,4780,44.335
4780,755,44.335
4417,1878,7.210
1878,4417,7.210
1878,1879,18.043
1879,1878,18.043
1879,5516,13.025
5516,1879,13.025
496,5835,24.480
5835,496,24.480
928,1607,6.550
1607,928,6.550
1607,8079,21.223
8079,1607,21.223
312,3564,1.360
3564,312,1.360
3564,3342,3.505
3342,3564,3.505
3342,6857,3.954
6857,3342,3.954
6857,6856,2.536
6856,6857,2.536
6856,6855,2.357
6855,6856,2.357
6855,2267,2.587
2267,6855,2.587
2267,6854,4.316
6854,2267,4.316
6854,310,7.684
310,6854,7.684
310,7938,31.631
7938,310,31.631
8171,7435,9.537
7435,8171,9.537
8171,7436,6.399
7436,8171,6.399
7436,2151,4.928
2151,7436,4.928
2151,8172,3.341
8172,2151,3.341
8172,112,15.453
112,8172,15.453
112,113,22.861
113,112,22.861
113,4709,2.988
4709,113,2.988
4709,2145,2.975
2145,4709,2.975
2145,8033,22.864
8033,2145,22.864
507,6626,4.141
6626,507,4.141
6626,8003,26.154
8003,6626,26.154
120,2531,1.929
2531,120,1.929
2531,5205,6.258
5205,2531,6.258
5205,7971,27.316
7971,5205,27.316
512,2539,2.518
2539,512,2.518
2539,6502,12.008
6502,2539,12.008
6502,4062,7.369
4062,6502,7.369
114,6622,7.070
6622,114,7.070
6622,8024,7.188
8024,6622,7.188
116,6338,2.986
6338,116,2.986
6338,6336,53.479
6336,6338,53.479
6336,117,2.405
117,6336,2.405
510,6621,2.542
6621,510,2.542
6621,6620,54.171
6620,6621,54.171
6620,511,2.553
511,6620,2.553
513,6334,5.544
6334,513,5.544
6334,6335,35.228
6335,6334,35.228
6335,117,2.261
117,6335,2.261
117,6337,3.521
6337,117,3.521
6337,5057,20.743
5057,6337,20.743
5057,511,19.177
511,5057,19.177
511,6619,25.673
6619,511,25.673
6619,727,6.855
727,6619,6.855
2808,4143,7.045
4143,2808,7.045
4143,4144,10.375
4144,4143,10.375
4144,475,6.759
475,4144,6.759
475,5545,13.904
5545,475,13.904
5545,5055,16.653
5055,5545,16.653
5055,5544,16.333
5544,5055,16.333
5544,5542,44.575
5542,5544,44.575
5542,4797,16.224
4797,5542,16.224
477,478,45.011
478,477,45.011
478,479,65.195
479,478,65.195
479,5870,23.664
5870,479,23.664
5870,4299,44.030
4299,5870,44.030
1788,1811,32.218
1811,1788,32.218
1811,2775,2.812
2775,1811,2.812
2775,5009,82.815
5009,2775,82.815
5009,1046,8.172
1046,5009,8.172
649,6639,4.846
6639,649,4.846
6639,6772,1.166
6772,6639,1.166
6772,2492,1.856
2492,6772,1.856
2492,2951,5.731
2951,2492,5.731
2951,650,14.750
650,2951,14.750
650,2898,14.846
2898,650,14.846
2898,2949,9.340
2949,2898,9.340
2949,483,7.438
483,2949,7.438
483,2954,26.007
2954,483,26.007
2954,4065,15.855
4065,2954,15.855
4065,252,16.069
252,4065,16.069
252,2952,3.312
2952,252,3.312
2952,4551,67.125
4551,2952,67.125
4551,2900,15.951
2900,4551,15.951
2900,2901,73.459
2901,2900,73.459
4059,2157,80.936
2157,4059,80.936
2157,6686,7.992
6686,2157,7.992
532,6125,12.370
6125,532,12.370
6125,2063,7.250
2063,6125,7.250
2063,756,29.248
756,2063,29.248
756,1329,13.642
1329,756,13.642
1329,536,21.940
536,1329,21.940
536,4638,9.998
4638,536,9.998
4638,541,38.693
541,4638,38.693
541,302,15.684
302,541,15.684
302,933,17.535
933,302,17.535
537,8326,4.786
8326,537,4.786
8326,542,24.740
542,8326,24.740
542,5044,25.741
5044,542,25.741
5044,4554,27.752
4554,5044,27.752
4554,1330,11.672
1330,4554,11.672
1330,8322,21.238
8322,1330,21.238
8322,536,3.600
536,8322,3.600
539,6126,13.518
6126,539,13.518
6126,757,15.077
757,6126,15.077
757,2362,20.836
2362,757,20.836
2362,758,23.433
758,2362,23.433
758,4555,16.271
4555,758,16.271
4555,1880,10.074
1880,4555,10.074
1880,8325,16.798
8325,1880,16.798
8325,537,4.160
