from,to,length
1736,7013,6.339
7013,1736,6.339
7013,9,25.000
9,7013,25.000
9,1791,9.205
1791,9,9.205
7220,548,26.411
548,7220,26.411
548,1123,54.785
1123,548,54.785
1123,1124,69.669
1124,1123,69.669
1124,1122,39.795
1122,1124,39.795
1125,7813,3.426
7813,1125,3.426
7813,1582,6.410
1582,7813,6.410
143,3103,1.663
3103,143,1.663
3103,5056,5.524
5056,3103,5.524
5056,7482,0.892
7482,5056,0.892
7482,547,25.975
547,7482,25.975
241,3738,4.133
3738,241,4.133
3738,5051,181.663
5051,3738,181.663
5051,3102,6.050
3102,5051,6.050
3102,242,1.563
242,3102,1.563
362,12985,5.680
12985,362,5.680
12985,131,36.169
131,12985,36.169
5088,365,33.885
365,5088,33.885
370,3775,2.932
3775,370,2.932
3775,3776,2.787
3776,3775,2.787
3776,373,2.782
373,3776,2.782
373,3780,2.782
3780,373,2.782
3780,3781,2.791
3781,3780,2.791
3781,3782,2.778
3782,3781,2.778
3782,381,2.780
381,3782,2.780
381,3785,2.789
3785,381,2.789
3785,3786,2.780
3786,3785,2.780
3786,378,2.789
378,3786,2.789
378,3789,2.779
3789,378,2.779
3789,3791,2.788
3791,3789,2.788
3791,2865,2.785
2865,3791,2.785
2865,3793,2.780
3793,2865,2.780
3793,3795,2.782
3795,3793,2.782
3795,368,2.789
368,3795,2.789
368,3798,2.605
3798,368,2.605
3798,3799,2.606
3799,3798,2.606
3799,380,2.612
380,3799,2.612
380,3802,2.608
3802,380,2.608
3802,3803,2.606
3803,3802,2.606
3803,3805,2.610
3805,3803,2.610
3805,371,2.609
371,3805,2.609
371,3808,3.033
3808,371,3.033
3808,3807,3.036
3807,3808,3.036
3807,3806,3.029
3806,3807,3.029
3806,372,3.036
372,3806,3.036
372,3804,3.031
3804,372,3.031
3804,3801,3.035
3801,3804,3.035
3801,3800,3.032
3800,3801,3.032
3800,138,3.034
138,3800,3.034
7368,7370,6.363
7370,7368,6.363
7370,1789,22.560
1789,7370,22.560
1789,1788,31.437
1788,1789,31.437
1788,11822,13.546
11822,1788,13.546
11822,7254,12.018
7254,11822,12.018
7254,7418,10.323
7418,7254,10.323
7418,1737,4.415
1737,7418,4.415
1737,4859,5.219
4859,1737,5.219
4859,12979,4.517
12979,4859,4.517
12979,248,9.808
248,12979,9.808
250,11154,8.678
11154,250,8.678
11154,1800,17.595
1800,11154,17.595
1800,11155,45.159
11155,1800,45.159
11155,251,4.626
251,11155,4.626
251,5065,5.009
5065,251,5.009
5065,4540,2.807
4540,5065,2.807
4540,383,1.501
383,4540,1.501
383,3605,5.425
3605,383,5.425
3605,4535,76.442
4535,3605,76.442
4535,2866,4.217
2866,4535,4.217
2866,3607,3.904
3607,2866,3.904
3607,7160,0.900
7160,3607,0.900
7160,4534,3.649
4534,7160,3.649
4534,9618,5.119
9618,4534,5.119
10238,7158,40.152
7158,10238,40.152
7158,5170,5.634
5170,7158,5.634
5170,4532,4.342
4532,5170,4.342
4532,9618,1.726
9618,4532,1.726
137,9182,10.238
9182,137,10.238
9182,10280,38.461
10280,9182,38.461
382,5568,6.725
5568,382,6.725
5568,9924,71.913
9924,5568,71.913
9924,12964,127.565
12964,9924,127.565
12964,1988,120.845
1988,12964,120.845
1988,377,11.214
377,1988,11.214
388,464,6.534
464,388,6.534
390,3228,3.382
3228,390,3.382
392,12663,6.041
12663,392,6.041
12663,6620,1.088
6620,12663,1.088
397,158,47.447
158,397,47.447
158,12221,13.538
12221,158,13.538
3374,12282,23.646
12282,3374,23.646
419,1379,14.551
1379,419,14.551
1379,12283,12.954
12283,1379,12.954
4084,1563,5.042
1563,4084,5.042
1563,4082,37.286
4082,1563,37.286
388,12249,18.370
12249,388,18.370
1090,5620,24.583
5620,1090,24.583
432,11356,8.745
11356,432,8.745
11356,13046,74.025
13046,11356,74.025
13046,13047,55.702
13047,13046,55.702
13047,2949,18.810
2949,13047,18.810
2949,433,9.983
433,2949,9.983
433,2948,66.731
2948,433,66.731
440,8519,9.005
8519,440,9.005
8519,12134,2.312
12134,8519,2.312
12134,12135,2.642
12135,12134,2.642
12135,1325,4.095
1325,12135,4.095
1325,613,11.757
613,1325,11.757
441,9497,5.978
9497,441,5.978
9497,2076,2.736
2076,9497,2.736
2076,9482,0.699
9482,2076,0.699
9482,7413,7.461
7413,9482,7.461
7413,7412,0.972
7412,7413,0.972
7412,9481,0.811
9481,7412,0.811
9481,446,7.941
446,9481,7.941
446,7411,4.832
7411,446,4.832
7411,2072,3.866
2072,7411,3.866
2072,445,8.461
445,2072,8.461
445,2073,7.908
2073,445,7.908
2073,9495,2.247
9495,2073,2.247
9495,7408,2.847
7408,9495,2.847
7408,443,3.656
443,7408,3.656
443,9498,8.829
9498,443,8.829
9498,2074,0.383
2074,9498,0.383
2074,444,11.759
444,2074,11.759
444,2075,10.868
2075,444,10.868
2075,9499,1.824
9499,2075,1.824
9499,442,10.488
442,9499,10.488
451,453,14.875
453,451,14.875
453,9067,25.034
9067,453,25.034
9067,11883,9.501
11883,9067,9.501
11883,9068,41.028
9068,11883,41.028
452,6996,21.577
6996,452,21.577
6996,1324,5.864
1324,6996,5.864
189,9485,11.306
9485,189,11.306
9485,6750,12.819
6750,9485,12.819
6750,3671,22.965
3671,6750,22.965
3671,8121,25.704
8121,3671,25.704
8121,3673,13.370
3673,8121,13.370
3673,461,10.561
461,3673,10.561
461,2067,28.277
2067,461,28.277
2067,460,37.998
460,2067,37.998
460,11712,9.567
11712,460,9.567
11712,11709,13.707
11709,11712,13.707
11709,7594,31.727
7594,11709,31.727
7594,7595,8.220
7595,7594,8.220
7595,8156,19.096
8156,7595,19.096
8156,451,39.857
451,8156,39.857
459,2838,27.437
2838,459,27.437
2838,455,62.750
455,2838,62.750
459,2839,7.143
2839,459,7.143
2839,6328,86.108
6328,2839,86.108
6328,9663,23.762
9663,6328,23.762
9663,8125,1.298
8125,9663,1.298
8125,9664,22.710
9664,8125,22.710
9664,12194,67.849
12194,9664,67.849
12194,4051,28.530
4051,12194,28.530
460,7783,35.133
7783,460,35.133
7783,8024,69.032
8024,7783,69.032
8024,1699,7.663
1699,8024,7.663
2126,2125,2.918
2125,2126,2.918
2125,8068,33.546
8068,2125,33.546
10397,2770,10.168
2770,10397,10.168
2770,12744,35.034
12744,2770,35.034
12744,5060,4.594
5060,12744,4.594
5060,4312,3.819
4312,5060,3.819
4312,468,1.231
468,4312,1.231
432,13048,3.402
13048,432,3.402
13048,11343,3.580
11343,13048,3.580
11343,13045,38.299
13045,11343,38.299
13045,487,13.591
487,13045,13.591
487,488,8.184
488,487,8.184
488,6409,33.250
6409,488,33.250
6409,2944,3.977
2944,6409,3.977
2944,11344,7.507
11344,2944,7.507
2810,5055,6.618
5055,2810,6.618
5055,8482,48.061
8482,5055,48.061
8482,8485,22.395
8485,8482,22.395
8485,3409,8.519
3409,8485,8.519
3409,1796,7.540
1796,3409,7.540
1796,7690,25.879
7690,1796,25.879
7690,2717,31.418
2717,7690,31.418
2717,502,49.891
502,2717,49.891
2373,8802,28.182
8802,2373,28.182
8802,8809,19.742
8809,8802,19.742
8809,8810,4.629
8810,8809,4.629
8810,1716,7.252
1716,8810,7.252
503,12074,16.181
12074,503,16.181
12074,505,43.477
505,12074,43.477
505,11743,4.607
11743,505,4.607
11743,11742,5.063
11742,11743,5.063
11742,665,2.619
665,11742,2.619
665,8787,2.980
8787,665,2.980
8787,12085,29.453
12085,8787,29.453
12085,9342,17.884
9342,12085,17.884
9342,8786,3.047
8786,9342,3.047
8786,9343,2.742
9343,8786,2.742
9343,9341,2.955
9341,9343,2.955
506,9345,3.173
9345,506,3.173
9345,9338,2.286
9338,9345,2.286
9338,9339,6.123
9339,9338,6.123
9339,5190,35.369
5190,9339,35.369
5190,192,12.501
192,5190,12.501
6890,9417,8.360
9417,6890,8.360
9417,7090,3.750
7090,9417,3.750
7090,7092,11.011
7092,7090,11.011
7092,7091,9.474
7091,7092,9.474
471,11002,2.502
11002,471,2.502
11002,7191,5.517
7191,11002,5.517
7191,5413,47.575
5413,7191,47.575
279,10732,106.911
10732,279,106.911
10732,137,10.702
137,10732,10.702
9618,4536,3.980
4536,9618,3.980
4536,7161,9.438
7161,4536,9.438
7161,4538,8.213
4538,7161,8.213
4538,7163,32.072
7163,4538,32.072
7163,10691,100.909
10691,7163,100.909
10691,511,86.456
511,10691,86.456
511,4554,6.565
4554,511,6.565
4554,4556,4.793
4556,4554,4.793
4556,3602,5.492
3602,4556,5.492
3602,5467,5.222
5467,3602,5.222
5467,1289,4.632
1289,5467,4.632
1819,1578,10.485
1578,1819,10.485
148,6919,55.590
6919,148,55.590
6919,5085,55.198
5085,6919,55.198
5085,3100,7.837
3100,5085,7.837
3100,291,1.420
291,3100,1.420
1053,308,39.757
308,1053,39.757
7824,6494,12.084
6494,7824,12.084
6494,12485,7.800
12485,6494,7.800
12485,5175,2.644
5175,12485,2.644
5175,6495,25.239
6495,5175,25.239
6495,147,8.425
147,6495,8.425
147,776,36.010
776,147,36.010
776,6493,44.335
6493,776,44.335
5766,2221,7.210
2221,5766,7.210
2221,2222,18.043
2222,2221,18.043
2222,7625,13.025
7625,2222,13.025
514,8612,24.480
8612,514,24.480
955,1825,6.550
1825,955,6.550
1825,12638,21.223
12638,1825,21.223
315,4475,1.360
4475,315,1.360
4475,4246,3.505
4246,4475,3.505
4246,10770,3.954
10770,4246,3.954
10770,10769,2.536
10769,10770,2.536
10769,10768,2.357
10768,10769,2.357
10768,2766,2.587
2766,10768,2.587
2766,10767,4.316
10767,2766,4.316
10767,313,7.684
313,10767,7.684
313,12492,31.631
12492,313,31.631
12779,11589,9.537
11589,12779,9.537
12779,11590,6.399
11590,12779,6.399
11590,2622,4.928
2622,11590,4.928
2622,12780,3.341
12780,2622,3.341
12780,113,15.453
113,12780,15.453
113,114,22.861
114,113,22.861
114,6385,2.988
6385,114,2.988
6385,2616,2.975
2616,6385,2.975
2616,12591,22.864
12591,2616,22.864
525,10308,4.141
10308,525,4.141
10308,12561,26.154
12561,10308,26.154
121,3078,1.929
3078,121,1.929
3078,7112,6.258
7112,3078,6.258
7112,12529,27.316
12529,7112,27.316
530,3086,2.518
3086,530,2.518
3086,10125,12.008
10125,3086,12.008
10125,5093,7.369
5093,10125,7.369
115,10304,7.070
10304,115,7.070
10304,12582,7.188
12582,10304,7.188
117,9824,2.986
9824,117,2.986
9824,9822,53.479
9822,9824,53.479
9822,118,2.405
118,9822,2.405
528,10303,2.542
10303,528,2.542
10303,10302,54.171
10302,10303,54.171
10302,529,2.553
529,10302,2.553
531,9820,5.544
9820,531,5.544
9820,9821,35.228
9821,9820,35.228
9821,118,2.261
118,9821,2.261
118,9823,3.521
9823,118,3.521
9823,6939,20.743
6939,9823,20.743
6939,529,19.177
529,6939,19.177
529,10301,25.673
10301,529,25.673
10301,747,6.855
747,10301,6.855
2126,2127,5.350
2127,2126,5.350
3460,5211,7.045
5211,3460,7.045
5211,5212,10.375
5212,5211,10.375
5212,493,6.759
493,5212,6.759
493,7719,13.904
7719,493,13.904
7719,6936,16.653
6936,7719,16.653
6936,7718,16.333
7718,6936,16.333
7718,7716,44.575
7716,7718,44.575
7716,6510,16.224
6510,7716,16.224
495,496,45.011
496,495,45.011
496,497,65.195
497,496,65.195
497,8749,23.664
8749,497,23.664
8749,5542,44.030
5542,8749,44.030
497,3876,32.336
3876,497,32.336
2093,2117,32.218
2117,2093,32.218
2117,3384,2.812
3384,2117,2.812
3384,6861,82.815
6861,3384,82.815
6861,1074,8.172
1074,6861,8.172
669,10325,4.846
10325,669,4.846
10325,10583,1.166
10583,10325,1.166
10583,3033,1.856
3033,10583,1.856
3033,3705,5.731
3705,3033,5.731
3705,670,14.750
670,3705,14.750
670,3593,14.846
3593,670,14.846
3593,3701,9.340
3701,3593,9.340
3701,501,7.438
501,3701,7.438
501,3708,26.007
3708,501,26.007
3708,5096,15.855
5096,3708,15.855
5096,254,16.069
254,5096,16.069
254,3706,3.312
3706,254,3.312
3706,6037,67.125
6037,3706,67.125
6037,3595,15.951
3595,6037,15.951
3595,3596,73.459
3596,3595,73.459
5090,2629,80.936
2629,5090,80.936
2629,10433,7.992
10433,2629,7.992
550,9396,12.370
9396,550,12.370
9396,2505,7.250
2505,9396,7.250
2505,777,29.248
777,2505,29.248
777,1471,13.642
1471,777,13.642
1471,554,21.940
554,1471,21.940
554,6221,9.998
6221,554,9.998
6221,560,38.693
560,6221,38.693
560,304,15.684
304,560,15.684
304,960,17.535
960,304,17.535
555,12993,4.786
12993,555,4.786
12993,561,24.740
561,12993,24.740
561,6913,25.741
6913,561,25.741
6913,6040,27.752
6040,6913,27.752
6040,1472,11.672
1472,6040,11.672
1472,12987,21.238
12987,1472,21.238
12987,554,3.600
554,12987,3.600
557,9397,13.518
9397,557,13.518
9397,778,15.077
778,9397,15.077
778,2878,20.836
2878,778,20.836
2878,779,23.433
779,2878,23.433
779,6041,16.271
6041,779,16.271
6041,2223,10.074
2223,6041,10.074
2223,12992,16.798
12992,2223,16.798
12992,555,4.160
555,12992,4.160
554,12981,4.754
12981,554,4.754
12981,6220,2.780
6220,12981,2.780
6220,558,31.554
558,6220,31.554
248,2079,16.656
2079,248,16.656
1778,7419,15.929
7419,1778,15.929
7419,339,10.474
339,7419,10.474
339,3966,16.046
3966,339,16.046
3966,1777,18.300
1777,3966,18.300
1777,12978,21.799
12978,1777,21.799
12978,2240,8.004
2240,12978,8.004
2240,248,3.856
248,2240,3.856
10239,2863,58.392
2863,10239,58.392
2863,12994,19.742
12994,2863,19.742
12994,556,5.259
556,12994,5.259
352,9366,6.962
9366,352,6.962
9366,1142,36.133
1142,9366,36.133
1142,3579,24.232
3579,1142,24.232
3579,9365,11.060
9365,3579,11.060
9365,209,9.232
209,9365,9.232
6872,12758,14.503
12758,6872,14.503
12758,2743,0.305
2743,12758,0.305
2743,12759,81.453
12759,2743,81.453
12759,8972,1.010
8972,12759,1.010
8972,4300,4.701
4300,8972,4.701
4300,562,1.764
562,4300,1.764
207,3060,12.705
3060,207,12.705
3060,3333,23.034
3333,3060,23.034
3333,563,37.093
563,3333,37.093
347,2821,13.140
2821,347,13.140
2821,7814,6.081
7814,2821,6.081
7814,2849,17.844
2849,7814,17.844
2849,2278,9.022
2278,2849,9.022
2278,2283,24.351
2283,2278,24.351
2283,1115,53.072
1115,2283,53.072
1115,1728,3.590
1728,1115,3.590
1728,2823,55.207
2823,1728,55.207
2823,345,4.627
345,2823,4.627
345,2822,4.497
2822,345,4.497
2822,335,140.855
335,2822,140.855
1113,9014,16.575
9014,1113,16.575
9014,1112,15.614
1112,9014,15.614
1112,1779,25.239
1779,1112,25.239
1779,346,44.089
346,1779,44.089
346,784,35.024
784,346,35.024
784,12662,4.144
12662,784,4.144
12662,7554,3.338
7554,12662,3.338
7554,7553,10.920
7553,7554,10.920
7553,783,15.420
783,7553,15.420
338,2716,46.272
2716,338,46.272
2716,6030,30.477
6030,2716,30.477
6030,6034,9.704
6034,6030,9.704
6034,1375,10.135
1375,6034,10.135
1375,6031,20.731
6031,1375,20.731
6031,2715,10.984
2715,6031,10.984
2715,346,32.167
346,2715,32.167
26,3044,7.383
3044,26,7.383
335,11225,5.707
11225,335,5.707
11225,5591,13.122
5591,11225,13.122
580,12603,9.559
12603,580,9.559
122,3076,4.003
3076,122,4.003
3076,3074,13.810
3074,3076,13.810
3074,513,3.761
513,3074,3.761
384,11167,10.317
11167,384,10.317
11167,3855,74.290
3855,11167,74.290
3855,3860,50.630
3860,3855,50.630
3860,9181,44.890
9181,3860,44.890
9181,370,11.615
370,9181,11.615
614,2400,8.235
2400,614,8.235
33,2692,11.195
2692,33,11.195
3194,2552,2.857
2552,3194,2.857
2552,5355,9.776
5355,2552,9.776
5355,5972,19.078
5972,5355,19.078
5972,2215,8.074
2215,5972,8.074
2215,5967,27.098
5967,2215,27.098
5967,8102,16.653
8102,5967,16.653
8102,5968,16.917
5968,8102,16.917
5968,7273,60.489
7273,5968,60.489
7273,2972,16.633
2972,7273,16.633
594,11282,7.785
11282,594,7.785
11282,11281,12.518
11281,11282,12.518
11281,5551,30.087
5551,11281,30.087
643,2588,40.280
2588,643,40.280
268,674,29.601
674,268,29.601
330,187,38.286
187,330,38.286
187,8373,6.631
8373,187,6.631
8373,3296,6.813
3296,8373,6.813
3296,3297,71.693
3297,3296,71.693
3297,9518,5.558
9518,3297,5.558
9518,8372,1.284
8372,9518,1.284
8372,188,6.128
188,8372,6.128
188,3292,4.965
3292,188,4.965
295,7435,5.170
7435,295,5.170
7435,1646,3.352
1646,7435,3.352
1646,3203,7.030
3203,1646,7.030
3203,1647,7.035
1647,3203,7.035
1647,7436,2.551
7436,1647,2.551
7436,294,2.848
294,7436,2.848
294,1651,2.853
1651,294,2.853
23,1821,9.872
1821,23,9.872
230,11142,7.179
11142,230,7.179
11142,5261,54.872
5261,11142,54.872
5261,8060,44.708
8060,5261,44.708
8060,2844,11.666
2844,8060,11.666
2844,6926,45.138
6926,2844,45.138
6926,1236,67.766
1236,6926,67.766
1236,11849,9.534
11849,1236,9.534
11849,7794,2.749
7794,11849,2.749
944,949,5.202
949,944,5.202
949,5681,8.163
5681,949,8.163
5681,2639,7.301
2639,5681,7.301
2639,945,20.600
945,2639,20.600
945,4523,24.354
4523,945,24.354
4523,1173,14.293
1173,4523,14.293
277,1037,11.401
1037,277,11.401
1037,10105,5.316
10105,1037,5.316
10105,3543,29.575
3543,10105,29.575
501,703,71.313
703,501,71.313
254,782,105.277
782,254,105.277
367,785,12.441
785,367,12.441
785,573,13.578
573,785,13.578
492,7721,16.028
7721,492,16.028
7721,7720,21.519
7720,7721,21.519
7720,7740,20.715
7740,7720,20.715
7740,11841,21.635
11841,7740,21.635
11841,493,7.165
493,11841,7.165
495,498,59.292
498,495,59.292
2581,3461,15.671
3461,2581,15.671
3461,5537,12.167
5537,3461,12.167
5537,492,4.969
492,5537,4.969
4685,607,13.040
607,4685,13.040
607,2747,33.660
2747,607,33.660
2747,12457,7.646
12457,2747,7.646
12457,12456,4.159
12456,12457,4.159
12456,10956,3.478
10956,12456,3.478
608,2681,6.772
2681,608,6.772
11350,11353,13.035
11353,11350,13.035
11353,11352,3.133
11352,11353,3.133
11352,11351,3.212
11351,11352,3.212
11351,432,5.232
432,11351,5.232
469,3637,1.528
3637,469,1.528
3637,5061,2.785
5061,3637,2.785
5061,12727,2.467
12727,5061,2.467
12727,2947,21.323
2947,12727,21.323
2947,11640,44.314
11640,2947,44.314
11640,5443,51.100
5443,11640,51.100
5443,3513,18.404
3513,5443,18.404
3513,899,5.163
899,3513,5.163
899,4708,38.236
4708,899,38.236
4708,5998,7.800
5998,4708,7.800
5998,898,10.226
898,5998,10.226
486,1042,21.171
1042,486,21.171
3201,11348,4.499
11348,3201,4.499
11348,480,48.398
480,11348,48.398
480,481,33.253
481,480,33.253
473,12746,5.498
12746,473,5.498
12746,4709,2.041
4709,12746,2.041
4709,3497,21.311
3497,4709,21.311
171,2433,7.813
2433,171,7.813
2433,6690,6.463
6690,2433,6.463
6690,12162,39.079
12162,6690,39.079
8387,4439,2.336
4439,8387,2.336
4439,2540,5.634
2540,4439,5.634
2540,4939,49.988
4939,2540,49.988
4939,2234,4.650
2234,4939,4.650
2234,260,6.445
260,2234,6.445
257,4437,1.426
4437,257,1.426
4437,612,34.894
612,4437,34.894
82,2488,6.853
2488,82,6.853
2488,259,90.185
259,2488,90.185
259,4436,108.944
4436,259,108.944
4436,102,1.367
102,4436,1.367
2789,2922,64.382
2922,2789,64.382
2922,11767,2.391
11767,2922,2.391
11767,11766,2.062
11766,11767,2.062
11766,734,1.854
734,11766,1.854
15,2406,7.156
2406,15,7.156
2406,6386,6.428
6386,2406,6.428
5183,5182,8.885
5182,5183,8.885
5182,2896,4.628
2896,5182,4.628
2896,181,10.698
181,2896,10.698
9560,12084,4.839
12084,9560,4.839
12084,6773,19.838
6773,12084,19.838
6773,5350,5.399
5350,6773,5.399
5350,1,16.154
1,5350,16.154
103,4441,4.979
4441,103,4.979
4441,7018,19.129
7018,4441,19.129
7018,11677,2.483
11677,7018,2.483
11677,11827,2.316
11827,11677,2.316
197,10096,14.044
10096,197,14.044
613,10432,4.932
10432,613,4.932
10432,8518,1.725
8518,10432,1.725
8518,12138,1.592
12138,8518,1.592
12138,7216,4.418
7216,12138,4.418
196,1326,11.427
1326,196,11.427
1326,5874,9.475
5874,1326,9.475
5874,184,8.115
184,5874,8.115
2113,10940,2.043
10940,2113,2.043
10940,10939,2.447
10939,10940,2.447
10939,3146,2.626
3146,10939,2.626
3146,3148,3.609
3148,3146,3.609
315,4737,2.237
4737,315,2.237
4737,2122,2.757
2122,4737,2.757
3420,4507,1.548
4507,3420,1.548
4507,7154,6.092
7154,4507,6.092
7154,8403,5.357
8403,7154,5.357
8403,12564,7.455
12564,8403,7.455
526,6457,3.397
6457,526,3.397
6457,6253,1.526
6253,6457,1.526
6253,6458,50.626
6458,6253,50.626
6458,757,11.241
757,6458,11.241
757,12551,37.942
12551,757,37.942
526,6254,5.061
6254,526,5.061
6254,12550,52.661
12550,6254,52.661
8793,1690,93.118
1690,8793,93.118
1690,180,7.526
180,1690,7.526
573,10448,41.851
10448,573,41.851
10448,572,4.570
572,10448,4.570
783,12660,3.923
12660,783,3.923
12660,12661,3.310
12661,12660,3.310
12661,2744,3.996
2744,12661,3.996
2744,1731,45.103
1731,2744,45.103
1731,345,7.418
345,1731,7.418
785,10685,21.086
10685,785,21.086
29,344,7.326
344,29,7.326
344,10091,72.805
10091,344,72.805
10091,6023,41.251
6023,10091,41.251
6023,1732,58.241
1732,6023,58.241
1732,335,6.589
335,1732,6.589
512,3305,57.114
3305,512,57.114
3305,9359,5.950
9359,3305,5.950
9359,3306,12.831
3306,9359,12.831
6890,9416,6.974
9416,6890,6.974
9416,7094,2.720
7094,9416,2.720
7094,7096,11.665
7096,7094,11.665
7096,1727,5.637
1727,7096,5.637
147,3110,1.992
3110,147,1.992
3110,5174,7.196
5174,3110,7.196
5174,12482,20.524
12482,5174,20.524
12482,1990,9.711
1990,12482,9.711
1990,12481,8.542
12481,1990,8.542
12481,146,8.257
146,12481,8.257
146,12484,10.123
12484,146,10.123
12484,2007,5.827
2007,12484,5.827
2007,2005,6.193
2005,2007,6.193
2005,2006,5.247
2006,2005,5.247
2006,310,10.531
310,2006,10.531
310,2003,9.793
2003,310,9.793
2003,12483,8.817
12483,2003,8.817
12483,12486,6.108
12486,12483,6.108
2097,7488,5.271
7488,2097,5.271
7488,6178,52.357
6178,7488,52.357
6178,7484,53.613
7484,6178,53.613
7484,793,7.103
793,7484,7.103
793,10057,7.514
10057,793,7.514
10057,792,77.847
792,10057,77.847
792,789,93.987
789,792,93.987
789,259,96.502
259,789,96.502
259,9714,7.365
9714,259,7.365
9714,258,78.058
258,9714,78.058
258,6856,114.525
6856,258,114.525
6856,787,6.621
787,6856,6.621
7378,1827,87.022
1827,7378,87.022
1827,5250,74.272
5250,1827,74.272
5250,2481,36.580
2481,5250,36.580
790,8145,19.167
8145,790,19.167
8145,8133,21.726
8133,8145,21.726
8133,7378,8.228
7378,8133,8.228
1349,2519,6.745
2519,1349,6.745
2519,875,27.962
875,2519,27.962
875,789,64.429
789,875,64.429
789,4434,107.358
4434,789,107.358
4434,788,1.322
788,4434,1.322
231,2722,9.187
2722,231,9.187
2722,12340,28.355
12340,2722,28.355
12340,12353,16.676
12353,12340,16.676
12353,12341,16.697
12341,12353,16.697
70,1441,11.970
1441,70,11.970
1863,5083,6.270
5083,1863,6.270
5083,5720,87.447
5720,5083,87.447
5720,800,59.241
800,5720,59.241
797,796,60.406
796,797,60.406
796,8761,38.948
